Code du département,Libellé du département,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,Nuance Liste,Libellé Abrégé Liste,Nom Tête de Liste,Voix,Nuance Liste.1,Libellé Abrégé Liste.1,Nom Tête de Liste.1,Voix.1,Nuance Liste.2,Libellé Abrégé Liste.2,Nom Tête de Liste.2,Voix.2,Nuance Liste.3,Libellé Abrégé Liste.3,Nom Tête de Liste.3,Voix.3,Nuance Liste.4,Libellé Abrégé Liste.4,Nom Tête de Liste.4,Voix.4,Nuance Liste.5,Libellé Abrégé Liste.5,Nom Tête de Liste.5,Voix.5,Nuance Liste.6,Libellé Abrégé Liste.6,Nom Tête de Liste.6,Voix.6,Nuance Liste.7,Libellé Abrégé Liste.7,Nom Tête de Liste.7,Voix.7,Nuance Liste.8,Libellé Abrégé Liste.8,Nom Tête de Liste.8,Voix.8,Nuance Liste.9,Libellé Abrégé Liste.9,Nom Tête de Liste.9,Voix.9,Nuance Liste.10,Libellé Abrégé Liste.10,Nom Tête de Liste.10,Voix.10,Nuance Liste.11,Libellé Abrégé Liste.11,Nom Tête de Liste.11,Voix.11,Nuance Liste.12,Libellé Abrégé Liste.12,Nom Tête de Liste.12,Voix.12,Nuance Liste.13,Libellé Abrégé Liste.13,Nom Tête de Liste.13,Voix.13,Nuance Liste.14,Libellé Abrégé Liste.14,Nom Tête de Liste.14,Voix.14,Nuance Liste.15,Libellé Abrégé Liste.15,Nom Tête de Liste.15,Voix.15,Nuance Liste.16,Libellé Abrégé Liste.16,Nom Tête de Liste.16,Voix.16,Nuance Liste.17,Libellé Abrégé Liste.17,Nom Tête de Liste.17,Voix.17,Nuance Liste.18,Libellé Abrégé Liste.18,Nom Tête de Liste.18,Voix.18,Nuance Liste.19,Libellé Abrégé Liste.19,Nom Tête de Liste.19,Voix.19,Nuance Liste.20,Libellé Abrégé Liste.20,Nom Tête de Liste.20,Voix.20,Nuance Liste.21,Libellé Abrégé Liste.21,Nom Tête de Liste.21,Voix.21,Nuance Liste.22,Libellé Abrégé Liste.22,Nom Tête de Liste.22,Voix.22,Nuance Liste.23,Libellé Abrégé Liste.23,Nom Tête de Liste.23,Voix.23,Nuance Liste.24,Libellé Abrégé Liste.24,Nom Tête de Liste.24,Voix.24,Nuance Liste.25,Libellé Abrégé Liste.25,Nom Tête de Liste.25,Voix.25,Nuance Liste.26,Libellé Abrégé Liste.26,Nom Tête de Liste.26,Voix.26,Nuance Liste.27,Libellé Abrégé Liste.27,Nom Tête de Liste.27,Voix.27
56,MORBIHAN,509024,276367,232657,7370,225287,LXG,Liste d'extrême gauche,DEFRANCE,4850,LXG,Liste d'extrême gauche,LE PIVERT,1620,LPC,Liste du Parti communiste,LE HYARIC,9877,LPS,Liste du Parti socialiste,POIGNANT,66045,LVE,Liste des Verts,AUBERT,16513,LDG,Liste divers gauche,LE GUEN,7202,LCP,Liste Chasse-Pêche-Nature et Traditions,SANCHEZ,3963,LDV,Liste Divers,REY-ROBERT,3164,LDV,Liste Divers,BIDOU,288,LDV,Liste Divers,LE TALLEC,49,LDV,Liste Divers,RESTIER,36,LDV,Liste Divers,DOIMI DE FRANKOPAN,316,LDV,Liste Divers,GUILLEMIN-LUGUE,51,LDV,Liste Divers,CLOPEAU,491,LDV,Liste Divers,BOLEN,1816,LUMP,Liste Union pour un mouvement populaire,BACHELOT,33886.0,LUDF,Liste Union pour la démocratie française,MORILLON,29602.0,LDD,Liste divers droite,HUNAULT,7507.0,LDD,Liste divers droite,VILLIERS DE,21931.0,LDD,Liste divers droite,MONTENOT,21.0,LFN,Liste du Front national,MARECHAL,16059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,MOSELLE,725820,472658,253162,8678,244484,LXG,Liste d'extrême gauche,HOFFMANN,2658,LXG,Liste d'extrême gauche,NIMSGERN,6637,LPC,Liste du Parti communiste,POURRE,5638,LPS,Liste du Parti socialiste,MOSCOVICI,67906,LVE,Liste des Verts,ISLER-BEGUIN,17603,LEC,Liste écologiste,WAECHTER,6319,LDV,Liste Divers,MERCK,4687,LDV,Liste Divers,SCHMITT,136,LDV,Liste Divers,MARCINEK,7206,LDV,Liste Divers,ROHER ,2523,LDV,Liste Divers,PICO,20,LDV,Liste Divers,LAMBEAUX,9,LDV,Liste Divers,ETIENNE,569,LDV,Liste Divers,ALLENBACH,28,LUMP,Liste Union pour un mouvement populaire,DAUL,32133,LUDF,Liste Union pour la démocratie française,GRIESBECK,39929.0,LDD,Liste divers droite,MONZANI,5594.0,LDD,Liste divers droite,MILLET,12034.0,LFN,Liste du Front national,GOLLNISCH,30644.0,LXD,Liste d'extrême droite,MEGRET,2211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NIEVRE,169295,94137,75158,2713,72445,LXG,Liste d'extrême gauche,HOFFMANN,640,LXG,Liste d'extrême gauche,NIMSGERN,1990,LPC,Liste du Parti communiste,POURRE,4770,LPS,Liste du Parti socialiste,MOSCOVICI,27401,LVE,Liste des Verts,ISLER-BEGUIN,3073,LEC,Liste écologiste,WAECHTER,1337,LDV,Liste Divers,MERCK,1181,LDV,Liste Divers,SCHMITT,170,LDV,Liste Divers,ALLENBACH,53,LDV,Liste Divers,ETIENNE,117,LDV,Liste Divers,LAMBEAUX,0,LDV,Liste Divers,PICO,43,LDV,Liste Divers,ROHER ,734,LDV,Liste Divers,MARCINEK,1823,LUMP,Liste Union pour un mouvement populaire,DAUL,10267,LUDF,Liste Union pour la démocratie française,GRIESBECK,6381.0,LDD,Liste divers droite,MONZANI,1348.0,LDD,Liste divers droite,MILLET,3683.0,LFN,Liste du Front national,GOLLNISCH,7111.0,LXD,Liste d'extrême droite,MEGRET,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,NORD,1740899,1032963,707936,22790,685146,LXG,Liste d'extrême gauche,REITZMAN,7768,LXG,Liste d'extrême gauche,BAUDRIN,18251,LPC,Liste du Parti communiste,HENIN,57378,LPS,Liste du Parti socialiste,WEBER,205741,LVE,Liste des Verts,FLAUTRE,50441,LDG,Liste divers gauche,DUQUENNE,5347,LCP,Liste Chasse-Pêche-Nature et Traditions,VERGY,13824,LDV,Liste Divers,HUGON,196,LDV,Liste Divers,GERNIGON,97,LDV,Liste Divers,AUGER,26,LDV,Liste Divers,VAN OMMESLAEGHE,272,LDV,Liste Divers,PACAUD,1509,LDV,Liste Divers,SUEUR,10914,LDV,Liste Divers,KURZYK,6268,LUMP,Liste Union pour un mouvement populaire,SAIFI,94366,LUDF,Liste Union pour la démocratie française,BOURLANGES,71789.0,LDD,Liste divers droite,BUTEL,32120.0,LDD,Liste divers droite,HERNU,12749.0,LFN,Liste du Front national,LANG,96090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,OISE,515216,305563,209653,6783,202870,LXG,Liste d'extrême gauche,REITZMAN,2339,LXG,Liste d'extrême gauche,BAUDRIN,6182,LPC,Liste du Parti communiste,HENIN,10116,LPS,Liste du Parti socialiste,WEBER,53998,LVE,Liste des Verts,FLAUTRE,14416,LDG,Liste divers gauche,DUQUENNE,2133,LCP,Liste Chasse-Pêche-Nature et Traditions,VERGY,3493,LDV,Liste Divers,HUGON,20,LDV,Liste Divers,PACAUD,530,LDV,Liste Divers,VAN OMMESLAEGHE,66,LDV,Liste Divers,AUGER,0,LDV,Liste Divers,GERNIGON,0,LDV,Liste Divers,KURZYK,2264,LDV,Liste Divers,SUEUR,3971,LUMP,Liste Union pour un mouvement populaire,SAIFI,28826,LUDF,Liste Union pour la démocratie française,BOURLANGES,23633.0,LDD,Liste divers droite,BUTEL,15001.0,LDD,Liste divers droite,HERNU,4575.0,LFN,Liste du Front national,LANG,31307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ORNE,214099,121117,92982,3592,89390,LXG,Liste d'extrême gauche,REITZMAN,1014,LXG,Liste d'extrême gauche,BAUDRIN,2300,LPC,Liste du Parti communiste,HENIN,2024,LPS,Liste du Parti socialiste,WEBER,22700,LVE,Liste des Verts,FLAUTRE,6135,LDG,Liste divers gauche,DUQUENNE,737,LCP,Liste Chasse-Pêche-Nature et Traditions,VERGY,2595,LDV,Liste Divers,HUGON,16,LDV,Liste Divers,PACAUD,215,LDV,Liste Divers,VAN OMMESLAEGHE,24,LDV,Liste Divers,AUGER,0,LDV,Liste Divers,GERNIGON,3,LDV,Liste Divers,KURZYK,1112,LDV,Liste Divers,SUEUR,1590,LUMP,Liste Union pour un mouvement populaire,SAIFI,15211,LUDF,Liste Union pour la démocratie française,BOURLANGES,11486.0,LDD,Liste divers droite,BUTEL,9171.0,LDD,Liste divers droite,HERNU,2549.0,LFN,Liste du Front national,LANG,10508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PAS DE CALAIS,1058256,609830,448426,19118,429308,LXG,Liste d'extrême gauche,REITZMAN,6470,LXG,Liste d'extrême gauche,BAUDRIN,12374,LPC,Liste du Parti communiste,HENIN,44795,LPS,Liste du Parti socialiste,WEBER,138412,LVE,Liste des Verts,FLAUTRE,25853,LDG,Liste divers gauche,DUQUENNE,4102,LCP,Liste Chasse-Pêche-Nature et Traditions,VERGY,15417,LDV,Liste Divers,HUGON,145,LDV,Liste Divers,PACAUD,1121,LDV,Liste Divers,VAN OMMESLAEGHE,132,LDV,Liste Divers,AUGER,0,LDV,Liste Divers,GERNIGON,17,LDV,Liste Divers,KURZYK,4255,LDV,Liste Divers,SUEUR,7382,LUMP,Liste Union pour un mouvement populaire,SAIFI,48193,LUDF,Liste Union pour la démocratie française,BOURLANGES,35568.0,LDD,Liste divers droite,BUTEL,19489.0,LDD,Liste divers droite,HERNU,7299.0,LFN,Liste du Front national,LANG,58284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PUY DE DOME,431294,234437,196857,7207,189650,LXG,Liste d'extrême gauche,MAILLOT,1500,LXG,Liste d'extrême gauche,LECLERC,5959,LPC,Liste du Parti communiste,GENESTE,10524,LPS,Liste du Parti socialiste,GUY-QUINT,68116,LVE,Liste des Verts,NORMAND,13189,LCP,Liste Chasse-Pêche-Nature et Traditions,LAVERGNE,2880,LDV,Liste Divers,TONNIEAU,256,LDV,Liste Divers,TALON,1892,LDV,Liste Divers,GAUDRY,301,LDV,Liste Divers,VELASQUE,3467,LDV,Liste Divers,MORGILLO,19,LDV,Liste Divers,VILLELE DE ,37,LUMP,Liste Union pour un mouvement populaire,HORTEFEUX,40782,LUDF,Liste Union pour la démocratie française,FOURTOU,18804,LDD,Liste divers droite,PELTIER,8229,LDD,Liste divers droite,LE BAUZEC,88.0,LFN,Liste du Front national,VERDON,12796.0,LXD,Liste d'extrême droite,JAFFRES,811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PYRENEES ATLANTIQUES,460320,250909,209411,7574,201837,LXG,Liste d'extrême gauche,CHEVALIER,1575,LXG,Liste d'extrême gauche,KRIVINE,4091,LPC,Liste du Parti communiste,POLO,8367,LPS,Liste du Parti socialiste,ARIF,60343,LVE,Liste des Verts,ONESTA,16025,LRG,Liste régionaliste,LACOUR,197,LRG,Liste régionaliste,LACO,5139,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,7038,LDV,Liste Divers,SALADIN,434,LDV,Liste Divers,ROY,1542,LDV,Liste Divers,LANGHI,267,LDV,Liste Divers,PATRY,3,LDV,Liste Divers,MANSOURI,7,LDV,Liste Divers,BOYER,8,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,SORDES,13.0,LDV,Liste Divers,CISSE,0.0,LDV,Liste Divers,BARITEL,1.0,LDV,Liste Divers,GARRIGUES,2864.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,35589.0,LUDF,Liste Union pour la démocratie française,CAVADA,37562.0,LDD,Liste divers droite,LECONTE,7060.0,LDD,Liste divers droite,ABITBOL,2915.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,10334.0,LXD,Liste d'extrême droite,SOUVILLE,463.0,,,,,,,,
65,HAUTES PYRENEES,171066,92407,78659,3583,75076,LXG,Liste d'extrême gauche,CHEVALIER,679,LXG,Liste d'extrême gauche,KRIVINE,2266,LPC,Liste du Parti communiste,POLO,6455,LPS,Liste du Parti socialiste,ARIF,25769,LVE,Liste des Verts,ONESTA,5154,LRG,Liste régionaliste,LACOUR,393,LRG,Liste régionaliste,LACO,3,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,3005,LDV,Liste Divers,SALADIN,164,LDV,Liste Divers,ROY,598,LDV,Liste Divers,GARRIGUES,1148,LDV,Liste Divers,BARITEL,0,LDV,Liste Divers,CISSE,9,LDV,Liste Divers,SORDES,4,LDV,Liste Divers,JOUBERT,0,LDV,Liste Divers,BOYER,7.0,LDV,Liste Divers,MANSOURI,7.0,LDV,Liste Divers,PATRY,5.0,LDV,Liste Divers,LANGHI,126.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,10223.0,LUDF,Liste Union pour la démocratie française,CAVADA,10511.0,LDD,Liste divers droite,LECONTE,2848.0,LDD,Liste divers droite,ABITBOL,1134.0,LDD,Liste divers droite,SCHEIWILLER,1.0,LFN,Liste du Front national,MARTINEZ,4368.0,LXD,Liste d'extrême droite,SOUVILLE,199.0,,,,,,,,
66,PYRENEES ORIENTALES,296164,172897,123267,5297,117970,LXG,Liste d'extrême gauche,CHEVALIER,950,LXG,Liste d'extrême gauche,KRIVINE,3256,LPC,Liste du Parti communiste,POLO,9288,LPS,Liste du Parti socialiste,ARIF,33297,LVE,Liste des Verts,ONESTA,8486,LRG,Liste régionaliste,LACOUR,808,LRG,Liste régionaliste,LACO,3,LCP,Liste Chasse-Pêche-Nature et Traditions,LAFITTE,3318,LDV,Liste Divers,SALADIN,312,LDV,Liste Divers,BARITEL,48,LDV,Liste Divers,CISSE,0,LDV,Liste Divers,JOUBERT,154,LDV,Liste Divers,SORDES,3,LDV,Liste Divers,BOYER,2,LDV,Liste Divers,MANSOURI,12,LDV,Liste Divers,PATRY,0.0,LDV,Liste Divers,ROY,929.0,LDV,Liste Divers,LANGHI,154.0,LDV,Liste Divers,GARRIGUES,2081.0,LUMP,Liste Union pour un mouvement populaire,LAMASSOURE,17940.0,LUDF,Liste Union pour la démocratie française,CAVADA,12703.0,LDD,Liste divers droite,LECONTE,5851.0,LDD,Liste divers droite,ABITBOL,3351.0,LDD,Liste divers droite,SCHEIWILLER,0.0,LFN,Liste du Front national,MARTINEZ,14580.0,LXD,Liste d'extrême droite,SOUVILLE,444.0,,,,,,,,
67,BAS RHIN,690117,420924,269193,8079,261114,LXG,Liste d'extrême gauche,HOFFMANN,1705,LXG,Liste d'extrême gauche,NIMSGERN,4545,LPC,Liste du Parti communiste,POURRE,2681,LPS,Liste du Parti socialiste,MOSCOVICI,56000,LVE,Liste des Verts,ISLER-BEGUIN,22373,LEC,Liste écologiste,WAECHTER,11054,LDV,Liste Divers,MERCK,5148,LDV,Liste Divers,MARCINEK,4302,LDV,Liste Divers,ROHER ,2350,LDV,Liste Divers,PICO,41,LDV,Liste Divers,LAMBEAUX,3,LDV,Liste Divers,ETIENNE,429,LDV,Liste Divers,ALLENBACH,41,LDV,Liste Divers,SCHMITT,813,LUMP,Liste Union pour un mouvement populaire,DAUL,60215,LUDF,Liste Union pour la démocratie française,GRIESBECK,39720.0,LDD,Liste divers droite,MONZANI,4685.0,LDD,Liste divers droite,MILLET,10452.0,LFN,Liste du Front national,GOLLNISCH,32844.0,LXD,Liste d'extrême droite,MEGRET,1713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HAUT RHIN,490802,302587,188215,6500,181715,LXG,Liste d'extrême gauche,HOFFMANN,1270,LXG,Liste d'extrême gauche,NIMSGERN,3504,LPC,Liste du Parti communiste,POURRE,2367,LPS,Liste du Parti socialiste,MOSCOVICI,38027,LVE,Liste des Verts,ISLER-BEGUIN,14800,LEC,Liste écologiste,WAECHTER,11356,LDV,Liste Divers,MERCK,3673,LDV,Liste Divers,MARCINEK,3119,LDV,Liste Divers,ROHER ,1904,LDV,Liste Divers,PICO,74,LDV,Liste Divers,LAMBEAUX,9,LDV,Liste Divers,ETIENNE,325,LDV,Liste Divers,ALLENBACH,60,LDV,Liste Divers,SCHMITT,572,LUMP,Liste Union pour un mouvement populaire,DAUL,33714,LUDF,Liste Union pour la démocratie française,GRIESBECK,26445.0,LDD,Liste divers droite,MONZANI,4337.0,LDD,Liste divers droite,MILLET,8872.0,LFN,Liste du Front national,GOLLNISCH,25814.0,LXD,Liste d'extrême droite,MEGRET,1473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,RHONE,942213,540548,401665,7672,393993,LXG,Liste d'extrême gauche,MIRGUET,2131,LXG,Liste d'extrême gauche,VACHETTA,8242,LPC,Liste du Parti communiste,GOMEZ,14744,LPS,Liste du Parti socialiste,ROCARD,112494,LVE,Liste des Verts,BENNAHMIAS,36411,LRG,Liste régionaliste,ANTHOINE,0,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,3010,LDV,Liste Divers,GOVERNATORI,6023,LDV,Liste Divers,DELAGE,3457,LDV,Liste Divers,LAURELLI,552,LDV,Liste Divers,SANMARTIN,26,LDV,Liste Divers,KERDO,307,LDV,Liste Divers,FRAYSSE ,0,LDV,Liste Divers,AUDIC,59,LDV,Liste Divers,GARINO,91,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,73032.0,LUDF,Liste Union pour la démocratie française,CORNILLET,58551.0,LDD,Liste divers droite,MARCHIANI,6532.0,LDD,Liste divers droite,LOUIS,27335.0,LDD,Liste divers droite,LALLOUETTE,0.0,LFN,Liste du Front national,LE PEN,39701.0,LXD,Liste d'extrême droite,VAUZELLE,1295.0,,,,,,,,,,,,,,,,,,,,,,,,
70,HAUTE SAONE,176096,94378,81718,3769,77949,LXG,Liste d'extrême gauche,HOFFMANN,547,LXG,Liste d'extrême gauche,NIMSGERN,2159,LPC,Liste du Parti communiste,POURRE,1945,LPS,Liste du Parti socialiste,MOSCOVICI,24434,LVE,Liste des Verts,ISLER-BEGUIN,3801,LEC,Liste écologiste,WAECHTER,1838,LDV,Liste Divers,MERCK,1357,LDV,Liste Divers,MARCINEK,2428,LDV,Liste Divers,ROHER ,696,LDV,Liste Divers,PICO,14,LDV,Liste Divers,LAMBEAUX,0,LDV,Liste Divers,ETIENNE,30,LDV,Liste Divers,ALLENBACH,9,LDV,Liste Divers,SCHMITT,227,LUMP,Liste Union pour un mouvement populaire,DAUL,13887,LUDF,Liste Union pour la démocratie française,GRIESBECK,6869.0,LDD,Liste divers droite,MONZANI,1271.0,LDD,Liste divers droite,MILLET,5066.0,LFN,Liste du Front national,GOLLNISCH,10925.0,LXD,Liste d'extrême droite,MEGRET,446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,SAONE ET LOIRE ,400221,234815,165406,6764,158642,LXG,Liste d'extrême gauche,HOFFMANN,1373,LXG,Liste d'extrême gauche,NIMSGERN,3814,LPC,Liste du Parti communiste,POURRE,6848,LPS,Liste du Parti socialiste,MOSCOVICI,53836,LVE,Liste des Verts,ISLER-BEGUIN,8503,LEC,Liste écologiste,WAECHTER,2071,LDV,Liste Divers,MERCK,2650,LDV,Liste Divers,MARCINEK,2995,LDV,Liste Divers,ROHER ,1575,LDV,Liste Divers,PICO,49,LDV,Liste Divers,LAMBEAUX,23,LDV,Liste Divers,ETIENNE,266,LDV,Liste Divers,ALLENBACH,16,LDV,Liste Divers,SCHMITT,390,LUMP,Liste Union pour un mouvement populaire,DAUL,26643,LUDF,Liste Union pour la démocratie française,GRIESBECK,16873.0,LDD,Liste divers droite,MONZANI,3859.0,LDD,Liste divers droite,MILLET,9957.0,LFN,Liste du Front national,GOLLNISCH,15996.0,LXD,Liste d'extrême droite,MEGRET,905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SARTHE,387777,229161,158616,6906,151710,LXG,Liste d'extrême gauche,DEFRANCE,4385,LXG,Liste d'extrême gauche,LE PIVERT,1471,LPC,Liste du Parti communiste,LE HYARIC,8169,LPS,Liste du Parti socialiste,POIGNANT,44927,LVE,Liste des Verts,AUBERT,10491,LDG,Liste divers gauche,LE GUEN,2230,LCP,Liste Chasse-Pêche-Nature et Traditions,SANCHEZ,2385,LDV,Liste Divers,REY-ROBERT,2443,LDV,Liste Divers,BIDOU,226,LDV,Liste Divers,LE TALLEC,8,LDV,Liste Divers,RESTIER,2,LDV,Liste Divers,DOIMI DE FRANKOPAN,260,LDV,Liste Divers,GUILLEMIN-LUGUE,5,LDV,Liste Divers,CLOPEAU,364,LDV,Liste Divers,BOLEN,1462,LUMP,Liste Union pour un mouvement populaire,BACHELOT,23275.0,LUDF,Liste Union pour la démocratie française,MORILLON,14498.0,LDD,Liste divers droite,HUNAULT,3390.0,LDD,Liste divers droite,VILLIERS DE,19462.0,LDD,Liste divers droite,MONTENOT,0.0,LFN,Liste du Front national,MARECHAL,12257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,SAVOIE,270744,159631,111113,3200,107913,LXG,Liste d'extrême gauche,MIRGUET,686,LXG,Liste d'extrême gauche,VACHETTA,2715,LPC,Liste du Parti communiste,GOMEZ,4993,LPS,Liste du Parti socialiste,ROCARD,31028,LVE,Liste des Verts,BENNAHMIAS,10604,LRG,Liste régionaliste,ANTHOINE,437,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,1355,LDV,Liste Divers,GOVERNATORI,2099,LDV,Liste Divers,GARINO,344,LDV,Liste Divers,DELAGE,929,LDV,Liste Divers,LAURELLI,173,LDV,Liste Divers,SANMARTIN,0,LDV,Liste Divers,KERDO,0,LDV,Liste Divers,FRAYSSE ,0,LDV,Liste Divers,AUDIC,29,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,21597.0,LUDF,Liste Union pour la démocratie française,CORNILLET,12782.0,LDD,Liste divers droite,MARCHIANI,1666.0,LDD,Liste divers droite,LOUIS,5767.0,LDD,Liste divers droite,LALLOUETTE,0.0,LFN,Liste du Front national,LE PEN,10402.0,LXD,Liste d'extrême droite,VAUZELLE,307.0,,,,,,,,,,,,,,,,,,,,,,,,
74,HAUTE SAVOIE,437469,265534,171935,4826,167109,LXG,Liste d'extrême gauche,MIRGUET,970,LXG,Liste d'extrême gauche,VACHETTA,3395,LPC,Liste du Parti communiste,GOMEZ,4237,LPS,Liste du Parti socialiste,ROCARD,41492,LVE,Liste des Verts,BENNAHMIAS,17379,LRG,Liste régionaliste,ANTHOINE,687,LCP,Liste Chasse-Pêche-Nature et Traditions,VIDAL-DAUMAS,1939,LDV,Liste Divers,GOVERNATORI,3465,LDV,Liste Divers,DELAGE,1884,LDV,Liste Divers,LAURELLI,291,LDV,Liste Divers,SANMARTIN,8,LDV,Liste Divers,KERDO,39,LDV,Liste Divers,FRAYSSE ,19,LDV,Liste Divers,AUDIC,28,LDV,Liste Divers,GARINO,458,LUMP,Liste Union pour un mouvement populaire,GROSSETETE,33074.0,LUDF,Liste Union pour la démocratie française,CORNILLET,25349.0,LDD,Liste divers droite,MARCHIANI,2903.0,LDD,Liste divers droite,LOUIS,11077.0,LDD,Liste divers droite,LALLOUETTE,0.0,LFN,Liste du Front national,LE PEN,17783.0,LXD,Liste d'extrême droite,VAUZELLE,632.0,,,,,,,,,,,,,,,,,,,,,,,,
75,PARIS,1139348,556197,583151,8898,574253,LXG,Liste d'extrême gauche,GLUCKSTEIN,1761,LXG,Liste d'extrême gauche,BESANCENOT,12428,LPC,Liste du Parti communiste,WURTZ,27179,LPS,Liste du Parti socialiste,DESIR,154309,LVE,Liste des Verts,LIPIETZ,60153,LDG,Liste divers gauche,TAUBIRA,8329,LEC,Liste écologiste,CASTANY,1446,LEC,Liste écologiste,LEPAGE,19473,LDV,Liste Divers,CHEMINADE,516,LDV,Liste Divers,OBERLIN,9499,LDV,Liste Divers,ZEBDI-GHORAB,80,LDV,Liste Divers,GUERARD,38,LDV,Liste Divers,CHAVRIER,101,LDV,Liste Divers,HUNTZINGER-CALMON,2,LDV,Liste Divers,VIJAYARANGAN,371,LDV,Liste Divers,DOGOUI,267.0,LDV,Liste Divers,TAIEB,130.0,LDV,Liste Divers,BIDOU,289.0,LDV,Liste Divers,ADELINE,556.0,LDV,Liste Divers,MENEZ,4392.0,LDV,Liste Divers,MIGUET,2221.0,LDV,Liste Divers,KERSAUDY,1126.0,LUMP,Liste Union pour un mouvement populaire,GAUBERT,120694.0,LUDF,Liste Union pour la démocratie française,SARNEZ DE,75032.0,LDD,Liste divers droite,PASQUA,11125.0,LDD,Liste divers droite,COUTEAUX,30792.0,LFN,Liste du Front national,LE PEN,30931.0,LXD,Liste d'extrême droite,BAY,1013.0
76,SEINE MARITIME ,842957,481605,361352,11915,349437,LXG,Liste d'extrême gauche,REITZMAN,3921,LXG,Liste d'extrême gauche,BAUDRIN,11069,LPC,Liste du Parti communiste,HENIN,22995,LPS,Liste du Parti socialiste,WEBER,115670,LVE,Liste des Verts,FLAUTRE,25626,LDG,Liste divers gauche,DUQUENNE,3421,LCP,Liste Chasse-Pêche-Nature et Traditions,VERGY,7424,LDV,Liste Divers,HUGON,160,LDV,Liste Divers,SUEUR,5530,LDV,Liste Divers,KURZYK,3486,LDV,Liste Divers,GERNIGON,19,LDV,Liste Divers,AUGER,0,LDV,Liste Divers,VAN OMMESLAEGHE,126,LDV,Liste Divers,PACAUD,663,LUMP,Liste Union pour un mouvement populaire,SAIFI,44852,LUDF,Liste Union pour la démocratie française,BOURLANGES,41662.0,LDD,Liste divers droite,BUTEL,18685.0,LDD,Liste divers droite,HERNU,6423.0,LFN,Liste du Front national,LANG,37705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,SEINE ET MARNE ,734931,437312,297619,8338,289281,LXG,Liste d'extrême gauche,GLUCKSTEIN,1995,LXG,Liste d'extrême gauche,BESANCENOT,10293,LPC,Liste du Parti communiste,WURTZ,15676,LPS,Liste du Parti socialiste,DESIR,70735,LVE,Liste des Verts,LIPIETZ,17661,LDG,Liste divers gauche,TAUBIRA,4042,LEC,Liste écologiste,CASTANY,711,LEC,Liste écologiste,LEPAGE,10235,LDV,Liste Divers,CHEMINADE,347,LDV,Liste Divers,ZEBDI-GHORAB,0,LDV,Liste Divers,GUERARD,4,LDV,Liste Divers,HUNTZINGER-CALMON,5,LDV,Liste Divers,VIJAYARANGAN,65,LDV,Liste Divers,DOGOUI,112,LDV,Liste Divers,TAIEB,5,LDV,Liste Divers,CHAVRIER,65.0,LDV,Liste Divers,BIDOU,501.0,LDV,Liste Divers,ADELINE,68.0,LDV,Liste Divers,MENEZ,5325.0,LDV,Liste Divers,KERSAUDY,686.0,LDV,Liste Divers,MIGUET,2534.0,LDV,Liste Divers,OBERLIN,3120.0,LUMP,Liste Union pour un mouvement populaire,GAUBERT,46352.0,LUDF,Liste Union pour la démocratie française,SARNEZ DE,30766.0,LDD,Liste divers droite,PASQUA,9275.0,LDD,Liste divers droite,COUTEAUX,20142.0,LFN,Liste du Front national,LE PEN,37394.0,LXD,Liste d'extrême droite,BAY,1167.0
